spectrum,label,regime,alpha,boundary,line_style,cutoff_N,trace_H,T2_H,trace_K,T2_K,ordinary_quadratic_mean,ordinary_logdet,ordinary_total_mean,det2_constant,wick_quadratic_sd_p,log_density_sd_q,cf_finite_part_mean,finite_cutoff_identity_error,KL_p_to_q,KL_p_to_q_det2,KL_q_to_p,KL_q_to_p_det2,precision_covariance_kl_p_error,precision_covariance_kl_q_error
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,15931,2.191325958339016,0.2801267396208981,2.649867620973082,0.7751641606494749,1.095662979169508,-1.1910089066393954,-0.09534592746988735,-0.09534592746987662,0.37425041056817704,0.622560904911911,-0.09534592746987662,1.0727529975440575e-14,0.09534592746988735,0.09534592746987662,0.1339249038471455,0.13392490384714856,1.0727529975440575e-14,3.0531133177191805e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,18131,2.1996231348564472,0.2801267709761149,2.6581648288458415,0.7751641920049253,1.0998115674282236,-1.1951575027369294,-0.09534593530870583,-0.09534593530869988,0.37425043151352205,0.6225609175032293,-0.09534593530869988,5.953570969552402e-15,0.09534593530870583,0.09534593530869988,0.1339249116859913,0.13392491168599163,5.953570969552402e-15,3.3306690738754696e-16
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,20635,2.2077090081726034,0.28012679713935085,2.666250728325311,0.7751642181683303,1.1038545040863017,-1.1992004459358283,-0.0953459418495266,-0.0953459418495231,0.374250448990613,0.6225609280095926,-0.0953459418495231,3.5110803153770576e-15,0.0953459418495266,0.0953459418495231,0.13392491822682717,0.13392491822682898,3.5110803153770576e-15,1.8041124150158794e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,23485,2.215588855186048,0.2801268189698063,2.674130597169266,0.7751642399989027,1.107794427593024,-1.2031403749001766,-0.09534594730715251,-0.09534594730714649,0.3742504635733978,0.6225609367760326,-0.09534594730714649,6.022959908591474e-15,0.09534594730715251,0.09534594730714649,0.1339249236844564,0.13392492368446243,6.022959908591474e-15,6.022959908591474e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,26728,2.2232660793927104,0.280126837180782,2.681807839586944,0.7751642582099628,1.1116330396963552,-1.2069789915562579,-0.09534595185990269,-0.09534595185989754,0.37425047573836295,0.6225609440889955,-0.09534595185989754,5.1486592766991635e-15,0.09534595185990269,0.09534595185989754,0.13392492823721414,0.13392492823722085,5.1486592766991635e-15,6.716849298982197e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,30419,2.230747601026191,0.2801268523760248,2.6892893764157018,0.7751642734052657,1.1153738005130955,-1.2107197561718086,-0.09534595565871307,-0.09534595565871319,0.3742504858888127,0.6225609501909294,-0.09534595565871319,1.249000902703301e-16,0.09534595565871307,0.09534595565871319,0.13392493203604228,0.13392493203604175,1.249000902703301e-16,5.273559366969494e-16
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,34620,2.238038536992155,0.2801268650550495,2.696580325060718,0.7751642860843357,1.1190192684960776,-1.2143652273245573,-0.09534595882847974,-0.09534595882847306,0.374250494358424,0.6225609552824268,-0.09534595882847306,6.675215935558754e-15,0.09534595882847974,0.09534595882847306,0.13392493520580162,0.13392493520580503,6.675215935558754e-15,3.4139358007223564e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,39401,2.245143027767674,0.28012687563342786,2.7036848264146185,0.7751642966627448,1.122571513883837,-1.217917475356923,-0.09534596147308605,-0.09534596147307005,0.3742505014247996,0.6225609595303679,-0.09534596147307005,1.600108934241007e-14,0.09534596147308605,0.09534596147307005,0.13392493785038617,0.1339249378504045,1.600108934241007e-14,1.8318679906315083e-14
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,44842,2.2520657845329892,0.2801268844591695,2.710607592005679,0.7751643054885082,1.1260328922664946,-1.2213788559460275,-0.09534596367953285,-0.09534596367950743,0.37425050732041065,0.6225609630745041,-0.09534596367950743,2.5424107263916085e-14,0.09534596367953285,0.09534596367950743,0.1339249400568121,0.13392494005684366,2.5424107263916085e-14,3.1558089474970075e-14
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,51035,2.258812394427804,0.28012689182365147,2.717354209265002,0.7751643128530012,1.129406197213902,-1.2247521627345637,-0.09534596552066166,-0.09534596552062946,0.3742505122398976,0.6225609660318422,-0.09534596552062946,3.219646771412954e-14,0.09534596552066166,0.09534596552062946,0.13392494189793736,0.1339249418979663,3.219646771412954e-14,2.8949065367100957e-14
