seed_index,model_seed,feature_seed,probe_seed,dimension,branch,trace_residue_coeff,batch_size,num_probes,num_grad_samples,series_order,num_threads,model_logit_jitter,variance_source,operator_semantics,objective_semantics,total_grad_variance,mean_grad_norm,mean_estimated_prior,std_estimated_prior,mean_trace_estimate,std_trace_estimate,trace_exact,t2_exact
2,13344303,13441306,13538309,1024,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,7.127954483032227,3.9406375885009766,-39.799256324768066,0.20449387874316952,355.04799365997314,0.2624158656771681,354.9839018583298,123.3852565520902
2,13344303,13441306,13538309,1024,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.032226208597421646,0.2321518063545227,-0.37174089532345533,0.21632034289466406,20.43382626771927,0.37695619389770707,20.32063156645745,1.181202267396324
2,13344303,13441306,13538309,1024,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,19.533733367919922,8.860077857971191,-217.32325315475464,0.3356855918955389,355.04799365997314,0.2624158656771681,354.9839018583298,123.3852565520902
2,13344303,13441306,13538309,1024,trace_residue_plus_0_5,0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.849032998085022,2.8542890548706055,137.7247405052185,0.07335922988716671,355.04799365997314,0.2624158656771681,354.9839018583298,123.3852565520902
2,13344303,13441306,13538309,1024,trace_residue_plus_1_0,1.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.6969680786132812,7.506667613983154,315.24873638153076,0.05810773015210413,355.04799365997314,0.2624158656771681,354.9839018583298,123.3852565520902
3,14344306,14441309,14538312,1024,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,7.159083366394043,3.8815560340881348,-38.375107169151306,0.2807879727705637,354.81167697906494,0.36008936703665884,354.7824648618698,123.23905196926674
3,14344306,14441309,14538312,1024,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.03640703111886978,0.2289745807647705,-0.17711727134883404,0.30817868246072283,20.262150764465332,0.535612516466477,20.281718115322292,1.1665399522033808
3,14344306,14441309,14538312,1024,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,19.61948585510254,8.806333541870117,-215.7809443473816,0.4608207424517556,354.81167697906494,0.36008936703665884,354.7824648618698,123.23905196926674
3,14344306,14441309,14538312,1024,trace_residue_plus_0_5,0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.8526549339294434,2.8589959144592285,139.03073263168335,0.10079719773082561,354.81167697906494,0.36008936703665884,354.7824648618698,123.23905196926674
3,14344306,14441309,14538312,1024,trace_residue_plus_1_0,1.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.7001999616622925,7.540757656097412,316.4365701675415,0.0794392517452443,354.81167697906494,0.36008936703665884,354.7824648618698,123.23905196926674
4,15344309,15441312,15538315,1024,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,7.158308982849121,3.927161693572998,-39.077054262161255,0.21447121863680393,354.6143989562988,0.27555435977101106,354.66464829444885,123.17550962045846
4,15344309,15441312,15538315,1024,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.03644835203886032,0.2538987100124359,-0.25211863312870264,0.1924888755891469,20.27736645936966,0.33839341624108804,20.324802820570767,1.1897303561950152
