m,channel_dimension_d,baseline,label,mechanism,channel_spectrum,physical_control,physical_parameter_name,physical_parameter_value,physical_distortion,dc_mask_response,anchored_dc_operator_gain,normalized_anchored_dc_response,physical_hs2,channel_trace,channel_hs2,raw_t2,centered_quadratic_variance,frequency_only_t2_lower_bound,analytic_uniform_t2_upper_bound,raw_t2_over_eta2_sqrt_d,growth_class
32,1024,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,19.2,11.52,94.44430532139424,47.22215266069712,11.52,nan,8.19829039248214,sqrt(d)
32,1024,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,19.2,11.52,59.69456218234938,29.84728109117469,11.52,nan,5.181819633884495,sqrt(d)
32,1024,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,3.66563345994133,0.8141625064228422,6.674740654325565,3.3373703271627826,nan,8.85415362388071,0.5794045706879831,bounded
48,2304,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,28.799999999999997,0.7053061224489796,7.404163030934286,3.702081515467143,nan,7.558416427412083,0.4284816568827711,bounded
48,2304,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,28.799999999999997,17.28,181.40199425789,90.700997128945,17.28,nan,10.497800593627893,sqrt(d)
48,2304,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,28.799999999999997,17.28,154.0778540131839,77.03892700659195,17.28,nan,8.916542477614808,sqrt(d)
48,2304,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,28.799999999999997,17.28,141.66645798209137,70.83322899104569,17.28,nan,8.19829039248214,sqrt(d)
48,2304,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,28.799999999999997,17.28,89.54184327352408,44.77092163676204,17.28,nan,5.181819633884495,sqrt(d)
48,2304,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,4.268792115706926,0.8370705240352879,6.862547235028491,3.4312736175142455,nan,8.85415362388071,0.3971381501752599,bounded
64,4096,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,38.4,0.7089230769230769,7.442133097759589,3.7210665488797945,nan,7.558416427412083,0.3230092490347044,bounded
64,4096,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,38.4,23.04,241.86932567718665,120.93466283859333,23.04,nan,10.497800593627893,sqrt(d)
64,4096,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,38.4,23.04,205.43713868424516,102.71856934212258,23.04,nan,8.916542477614808,sqrt(d)
64,4096,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,38.4,23.04,188.88861064278848,94.44430532139424,23.04,nan,8.19829039248214,sqrt(d)
64,4096,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,38.4,23.04,119.38912436469876,59.69456218234938,23.04,nan,5.181819633884495,sqrt(d)
64,4096,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,4.736686224854272,0.8508053147846474,6.9751490380717165,3.4875745190358582,nan,8.85415362388071,0.30274084366630716,bounded
96,9216,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,57.599999999999994,0.7125773195876289,7.480494608572784,3.740247304286392,nan,7.558416427412083,0.21644949677583286,bounded
